Model,GM,Top plan geometry side count (X1),Bottom plan geometry side count (X2),Top and Bottom plan orientation (X3),Number of stories (X4),Floor height (X5),Vertical transformation method (X6),Tapering (X7),Twisting Angle (X8),Curvilinear; location of control floor (X9),Curvilinear; scale of control floor (X10),TotalGrossArea,AspectRatio,TotalFacadeArea,DiagridAngleBottom,DiagridAngleTop,DiagridAngleAvg,TotalMass, Mean Squared Error, Scale Factor, 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor,Overall_Max_Acc,Acc_X,Acc_Y,Acc_Time,Acc_Floor,Max_Displacement,Displacement_X,Displacement_Y,Disp_Time,Disp_Story,Overall_Max_Drift,Drift_X,Drift_Y,Drift_Time,Drift_Floor,Max_Stress_Tension_diagrid,Stress_Tens_Time_diagrid,Stress_Tens_Story_diagrid,Max_Stress_Compression_diagrid,Stress_Comp_Time_diagrid,Stress_Comp_Story_diagrid,Max_Shear_diagrid,Shear_Time_diagrid,Shear_Story_diagrid,Max_Von_Mises_diagrid,VM_Time_diagrid,VM_Story_diagrid,Total_Max_Stress_Tension_tot,Total_Stress_Tens_Time_tot,Total_Stress_Tens_Story_tot,Total_Max_Stress_Compression_tot,Total_Stress_Comp_Time_tot,Total_Stress_Comp_Story_tot,Total_Max_Shear_tot,Total_Shear_Time_tot,Total_Shear_Story_tot,Total_Max_Von_Mises_tot,Total_VM_Time_tot,Total_VM_Story_tot,Overall_Max_Torsion,Torsion_Time,Torsion_Floor,Diagrid_Max_Magnitude_R,Diagrid_Ry_Value,Diagrid_Rz_Value,Diagrid_Max_Time_R,Diagrid_Max_Magnitude_M,Diagrid_My_Value,Diagrid_Mz_Value,Diagrid_Max_Time_M,Core_Max_Magnitude_R,Core_Ry_Value,Core_Rz_Value,Core_Max_Time_R,Core_Max_Magnitude_M,Core_My_Value,Core_Mz_Value,Core_Max_Time_M,Total_Max_Magnitude_R,Total_Ry_Value,Total_Rz_Value,Total_Diagrid_R_Contrib_Value,Total_Core_R_Contrib_Value,Total_Max_Time_R,Total_Max_Magnitude_M,Total_My_Value,Total_Mz_Value,Total_Diagrid_M_Contrib_Value,Total_Core_M_Contrib_Value,Total_Max_Time_M,Cost of structure,Cost of floor,Cost of Land,Total costs,Total costs/TGA,selleble price,EC Steel1,EC Steel2,EC Steel3,EC floor1,EC floor2,"EC total steel1, floor1","EC total steel2, floor1","EC total steel3, floor1","EC total steel1, floor2","EC total steel2, floor2","EC total steel3, floor2","EC GIA (Steel1, floor 1)","EC GIA (Steel2, floor 1)","EC GIA (Steel3, floor 1)","EC GIA (Steel1, floor 2)","EC GIA (Steel2, floor 2)","EC GIA (Steel3, floor 2)"
2,4,3,4,0,56,4,2,,,0.75,0.85,87743.1429,4.394628,35579.33238,51.326057,61.488046,56.407052,27600000,0.3823,0.3124,3.8,10.9,0.4,6.36, Reverse,24.83,26.38,381.27,0.2875,0.3497,1.3894,-0.66645,-1.2191,8.05,56,0.079495,-0.07398,-0.029094,9.38,56,0.0025247,0.0009002,0.0023588,8.16,53,111720000,7.69,0,-95262000,9.48,32,11029000,7.02,0,112270000,7.69,0,112690000,8.02,0,-123720000,7.98,0,11029000,7.02,0,123820000,7.98,0,7.6358e-05,8.29,53,795080000,-7952900,795040000,7.87,36297000,-36282000,-1024300,9.47,330290000,564650,330290000,9.38,243170000,-243170000,911130,9.29,1124800000,-11363000,1124700000,70.6707,29.3305,7.55,268620000,-268610000,-443850,13.167,86.8386,9.45,105984000,6580735.718,750000,112564735.7,1282.889261,8774314.29,43897800,10984800,1989960,7159876.238,4360324.38,51057676.24,18144676.24,9149836.238,48258124.38,15345124.38,6350284.38,581.899332,206.7930967,104.2797868,549.9931138,174.8868786,72.37356869
2,5,3,4,0,56,4,2,,,0.75,0.85,87743.1429,4.394628,35579.33238,51.326057,61.488046,56.407052,27600000,0.3757,2.3281,4.4,11.6,0,6.1, Normal,26.75,29.2,454.56,0.75,2.6062,1.4781,-0.49532,-1.3926,7.71,27,0.041147,-0.040307,-0.0082692,8.65,56,0.0018858,-0.0018837,-8.86E-05,8.67,49,109810000,7.65,0,-93774000,7.71,36,10808000,7.35,0,110380000,7.65,0,111190000,8.35,0,-122030000,8.34,0,10808000,7.35,0,122140000,8.34,0,7.6253e-05,8.14,53,794940000,12469000,794840000,8.13,37923000,-37908000,-1064000,10.26,330140000,276340,330140000,7.88,209780000,-209780000,330120,7.42,1124900000,-16141000,1124800000,70.6586,29.3441,7.67,228440000,-228440000,-807500,13.2607,86.7464,11.01,105984000,6580735.718,750000,112564735.7,1282.889261,8774314.29,43897800,10984800,1989960,7159876.238,4360324.38,51057676.24,18144676.24,9149836.238,48258124.38,15345124.38,6350284.38,581.899332,206.7930967,104.2797868,549.9931138,174.8868786,72.37356869
2,6,3,4,0,56,4,2,,,0.75,0.85,87743.1429,4.394628,35579.33238,51.326057,61.488046,56.407052,27600000,0.1168,0.5106,6,11,0.5,6.69, Reverse,17.81,18.5,411.55,0.375,0.5716,1.3926,-0.83991,1.1108,4.19,29,0.045725,-0.045623,-0.0030513,17.22,56,0.001671,-0.0012868,0.001066,4.78,53,108710000,4.13,0,-88304000,8.69,36,10677000,4.11,0,109280000,4.13,0,111090000,4.48,0,-121870000,4.45,0,10677000,4.11,0,121960000,4.45,0,7.6064e-05,4.81,53,794830000,-2141700,794830000,4.24,33920000,-33905000,-1021200,4.11,330150000,266640,330150000,17.24,208720000,-208720000,336640,14.28,1124800000,8099900,1124800000,70.6626,29.3382,4.16,231850000,-231840000,-665930,13.8876,86.1191,4.13,105984000,6580735.718,750000,112564735.7,1282.889261,8774314.29,43897800,10984800,1989960,7159876.238,4360324.38,51057676.24,18144676.24,9149836.238,48258124.38,15345124.38,6350284.38,581.899332,206.7930967,104.2797868,549.9931138,174.8868786,72.37356869
2,7,3,4,0,56,4,2,,,0.75,0.85,87743.1429,4.394628,35579.33238,51.326057,61.488046,56.407052,27600000,0.0933,0.9772,4.7,13.8,0.1,5.61, Reverse,23.67,25.69,365.22,0.2,1.094,1.6721,1.6559,0.23226,7.5,56,0.04894,-0.046913,-0.013939,7.57,56,0.0016574,-0.0016493,0.00016396,7.51,49,108340000,10.37,0,-91770000,7.68,32,10974000,7.28,0,108910000,10.37,0,111670000,16.12,0,-121820000,16.09,0,10974000,7.28,0,121920000,16.09,0,7.5998e-05,7.46,53,794840000,-4913200,794820000,6.83,32689000,-32673000,-1023100,10.37,330160000,279590,330160000,26.38,212750000,-212750000,290340,7.51,1124800000,8890400,1124800000,70.6508,29.35,7.42,243170000,-243170000,-653020,13.4329,86.5735,10.38,105984000,6580735.718,750000,112564735.7,1282.889261,8774314.29,43897800,10984800,1989960,7159876.238,4360324.38,51057676.24,18144676.24,9149836.238,48258124.38,15345124.38,6350284.38,581.899332,206.7930967,104.2797868,549.9931138,174.8868786,72.37356869
3,1,4,4,1,44,3.5,2,,,0.25,0.85,59559.67752,3.976263,22695.12953,59.449858,70.574576,65.012217,14100000,0.6007,0.6821,14.7,29,0.1,6.19, strike slip,17.64,17.64,408.93,0.125,0.7636,0.86653,-0.50237,0.70605,21.19,44,0.059377,0.039562,-0.044277,21.17,44,0.0019087,0.0012291,-0.0014603,21.18,37,106200000,21.17,0,-114420000,18.57,21,3661200,23.99,31,114430000,18.58,21,123530000,21.27,0,-124540000,19.75,0,3661200,23.99,31,124540000,19.75,0,0.00010278,0.01,37,524100000,10217000,524000000,17.77,1785900,1654000,673520,21.85,222260000,318560,222260000,17.73,2477200000,2477200000,12169000,18.42,746330000,10541000,746260000,70.223,29.7804,17.77,2477900000,2477900000,12843000,0.0407,99.9695,18.42,54144000,4466975.814,750000,58610975.81,984.0714096,5955967.752,22426050,5611800,1016610,4860093.971,2959769.907,27286143.97,10471893.97,5876703.971,25385819.91,8571569.907,3976379.907,458.131157,175.8218716,98.66917041,426.2249388,143.9156534,66.76295227
3,2,4,4,1,44,3.5,2,,,0.25,0.85,59559.67752,3.976263,22695.12953,59.449858,70.574576,65.012217,14100000,0.2348,0.3388,10.6,16.8,1,6.61, Reverse,19.33,22.63,450.28,0.375,0.3792,2.1546,0.83084,1.988,1.45,44,0.047727,-0.025172,-0.04055,1.43,43,0.0019089,-0.0007267,-0.0017652,1.46,37,103310000,2,21,-113450000,2,21,3989300,1.49,31,113450000,2,21,121220000,2,0,-122790000,15.73,0,3989300,1.49,31,122800000,15.73,0,0.00010278,0.01,37,524170000,13462000,524000000,1.22,3809400,3749400,673520,2.7,222260000,728070,222260000,1.16,2490500000,2490500000,2692100,1.97,746390000,14183000,746260000,70.2271,29.7782,1.22,2489500000,2489500000,3365600,0.0467,100.0381,1.97,54144000,4466975.814,750000,58610975.81,984.0714096,5955967.752,22426050,5611800,1016610,4860093.971,2959769.907,27286143.97,10471893.97,5876703.971,25385819.91,8571569.907,3976379.907,458.131157,175.8218716,98.66917041,426.2249388,143.9156534,66.76295227
3,3,4,4,1,44,3.5,2,,,0.25,0.85,59559.67752,3.976263,22695.12953,59.449858,70.574576,65.012217,14100000,0.2005,0.2305,5.4,15.4,0.9,6.6, Normal Oblique,10.27,10.27,361.4,0.25,0.258,1.3896,0.8512,-1.0984,4.14,44,0.045445,0.044047,0.011185,7.73,44,0.001694,0.0016727,0.0002676,7.71,37,104620000,11.07,8,-109950000,11.07,9,3827500,8.56,31,110010000,11.07,9,123100000,11.09,0,-124910000,7.62,0,3827500,8.56,31,124910000,7.62,0,0.00010278,0.01,37,524090000,9728300,524000000,8.75,3179400,3107300,673520,4.53,222260000,648450,222260000,4.17,2483300000,2483300000,9747600,7.75,746320000,10173000,746260000,70.2222,29.7807,8.75,2484300000,2484300000,12829000,0.056,99.9509,7.72,54144000,4466975.814,750000,58610975.81,984.0714096,5955967.752,22426050,5611800,1016610,4860093.971,2959769.907,27286143.97,10471893.97,5876703.971,25385819.91,8571569.907,3976379.907,458.131157,175.8218716,98.66917041,426.2249388,143.9156534,66.76295227
3,4,4,4,1,44,3.5,2,,,0.25,0.85,59559.67752,3.976263,22695.12953,59.449858,70.574576,65.012217,14100000,0.3823,0.3124,3.8,10.9,0.4,6.36, Reverse,24.83,26.38,381.27,0.2875,0.3497,1.4166,-0.95678,1.0446,8.82,44,0.05423,-0.04192,-0.034403,8.5,43,0.0018969,0.0014911,-0.0011725,8.87,37,106790000,9.05,8,-112450000,9.06,9,4220000,6.46,31,112500000,9.06,9,123310000,9.01,0,-125090000,7.54,0,4220000,6.46,31,125100000,7.54,0,0.00010278,0.01,37,524080000,-9156600,524000000,9.37,3432500,-3365800,673520,8.6,222260000,-498110,222260000,7.54,2477200000,2477200000,11296000,11.02,746310000,-9376300,746260000,70.2218,29.7811,9.37,2477600000,2477600000,4296500,0.0426,99.9672,9.08,54144000,4466975.814,750000,58610975.81,984.0714096,5955967.752,22426050,5611800,1016610,4860093.971,2959769.907,27286143.97,10471893.97,5876703.971,25385819.91,8571569.907,3976379.907,458.131157,175.8218716,98.66917041,426.2249388,143.9156534,66.76295227
3,5,4,4,1,44,3.5,2,,,0.25,0.85,59559.67752,3.976263,22695.12953,59.449858,70.574576,65.012217,14100000,0.3757,2.3281,4.4,11.6,0,6.1, Normal,26.75,29.2,454.56,0.75,2.6062,2.2257,-2.1947,0.37008,8.19,44,0.034988,-0.01166,0.032988,7.91,44,0.0015999,0.0015932,-0.0001462,8.24,37,102090000,7.97,21,-113190000,7.97,21,3727100,10.25,31,113190000,7.97,21,120670000,8.1,0,-123480000,8.2,0,3727100,10.25,31,123480000,8.2,0,0.00010278,0.01,37,524090000,-10081000,524000000,7.65,6255600,6219200,673520,8.22,222260000,-676000,222260000,7.65,2467200000,2467200000,3057800,8.08,746330000,-10757000,746260000,70.2223,29.7805,7.65,2466200000,2466200000,4049200,0.0326,100.0177,8.09,54144000,4466975.814,750000,58610975.81,984.0714096,5955967.752,22426050,5611800,1016610,4860093.971,2959769.907,27286143.97,10471893.97,5876703.971,25385819.91,8571569.907,3976379.907,458.131157,175.8218716,98.66917041,426.2249388,143.9156534,66.76295227
3,6,4,4,1,44,3.5,2,,,0.25,0.85,59559.67752,3.976263,22695.12953,59.449858,70.574576,65.012217,14100000,0.1168,0.5106,6,11,0.5,6.69, Reverse,17.81,18.5,411.55,0.375,0.5716,2.1248,-2.1067,0.2768,5.28,44,0.03813,0.016559,0.034347,10.65,44,0.0014028,0.0006037,0.0012663,10.69,37,100360000,10.65,21,-110160000,10.64,21,3425000,11.45,31,110160000,10.64,21,120580000,10.6,0,-122730000,5.09,0,3425000,11.45,31,122730000,5.09,0,0.00010278,0.01,37,524080000,-9437400,524000000,10.43,4980900,4935100,673520,5.31,222260000,490710,222260000,4.63,2476000000,2476000000,7180700,10.59,746320000,-9815200,746260000,70.2219,29.7808,10.43,2475400000,2475300000,7145500,0.0308,100.0144,10.6,54144000,4466975.814,750000,58610975.81,984.0714096,5955967.752,22426050,5611800,1016610,4860093.971,2959769.907,27286143.97,10471893.97,5876703.971,25385819.91,8571569.907,3976379.907,458.131157,175.8218716,98.66917041,426.2249388,143.9156534,66.76295227
